counter,parent,child
0,c09e24fcbe4042ef12ce74c739c6d8cd,7ee38c9fbcb854270efa490c827a7f6d
0,c09e24fcbe4042ef12ce74c739c6d8cd,75c03e2d60d21e87fbd1553672329614
0,c09e24fcbe4042ef12ce74c739c6d8cd,f8040defde020b4d1526a24e1bf5fe1a
0,8c06548732cb1c2bcc7611699e9a0c0a,ff216acfe198d1f17bb724a4c0e63282
0,8c06548732cb1c2bcc7611699e9a0c0a,3a98eec2aa5ea8081d6d4b92a22bd725
2,e5641fdb20a4468a60ac67f9ac890bf0,3716bf65f15feb5adb223113f99ff4cd
2,e5641fdb20a4468a60ac67f9ac890bf0,3d949da8d3a0b4204b7069edc0187cc9
2,3716bf65f15feb5adb223113f99ff4cd,e5641fdb20a4468a60ac67f9ac890bf0
2,3716bf65f15feb5adb223113f99ff4cd,3d949da8d3a0b4204b7069edc0187cc9
3,73b6c1a7fd1dd0e7dc3a1ace4ec1dfe6,bd40d25177127710ca1136aa43c197b6
3,73b6c1a7fd1dd0e7dc3a1ace4ec1dfe6,260262536479b910a0189fa0cbf1c1f9
3,73b6c1a7fd1dd0e7dc3a1ace4ec1dfe6,236a6f0d068198505997bfe9763c00b9
3,f132f8ecd8aad843bd5e5c5131b05cca,99fc06dc830fff710b860ed7e21bb4e5
3,f132f8ecd8aad843bd5e5c5131b05cca,91a9587224dddded16896506f18655c6
3,91a9587224dddded16896506f18655c6,99fc06dc830fff710b860ed7e21bb4e5
3,91a9587224dddded16896506f18655c6,f132f8ecd8aad843bd5e5c5131b05cca
3,1b198c1b18cdd62ba51fdb65352099d0,55e8ec3998c38ce8a20b3db9c95062a8
3,1b198c1b18cdd62ba51fdb65352099d0,abb28e52222ce16214de52915129167b
6,389952bf1da61614129a856af1d4a229,e519c75db586a172dead7843d9743347
6,389952bf1da61614129a856af1d4a229,026973767bbf8a885b349693a581e8f3
6,026973767bbf8a885b349693a581e8f3,e519c75db586a172dead7843d9743347
6,026973767bbf8a885b349693a581e8f3,389952bf1da61614129a856af1d4a229
6,e519c75db586a172dead7843d9743347,026973767bbf8a885b349693a581e8f3
6,e519c75db586a172dead7843d9743347,389952bf1da61614129a856af1d4a229
6,ba65ea5016b20390d8a32d5e9c6266fb,a3fcc2ccd70ee9fa50d2d9218ef88b91
6,ba65ea5016b20390d8a32d5e9c6266fb,9558a4538fd768151664c99509e378db
6,9558a4538fd768151664c99509e378db,a3fcc2ccd70ee9fa50d2d9218ef88b91
6,9558a4538fd768151664c99509e378db,ba65ea5016b20390d8a32d5e9c6266fb
6,a3fcc2ccd70ee9fa50d2d9218ef88b91,ba65ea5016b20390d8a32d5e9c6266fb
6,a3fcc2ccd70ee9fa50d2d9218ef88b91,9558a4538fd768151664c99509e378db
6,31b43adcae01eb7f5bed04e3c6431776,f37bcee0ad63c8c3ccc57effc718163d
6,31b43adcae01eb7f5bed04e3c6431776,89fdd2250dae13766a24160086ee39dc
6,31b43adcae01eb7f5bed04e3c6431776,d42119e604398c17be755cf082147b50
6,89fdd2250dae13766a24160086ee39dc,f37bcee0ad63c8c3ccc57effc718163d
6,89fdd2250dae13766a24160086ee39dc,d42119e604398c17be755cf082147b50
6,89fdd2250dae13766a24160086ee39dc,31b43adcae01eb7f5bed04e3c6431776
6,f37bcee0ad63c8c3ccc57effc718163d,89fdd2250dae13766a24160086ee39dc
6,f37bcee0ad63c8c3ccc57effc718163d,d42119e604398c17be755cf082147b50
6,f37bcee0ad63c8c3ccc57effc718163d,31b43adcae01eb7f5bed04e3c6431776
6,d42119e604398c17be755cf082147b50,f37bcee0ad63c8c3ccc57effc718163d
6,d42119e604398c17be755cf082147b50,89fdd2250dae13766a24160086ee39dc
6,d42119e604398c17be755cf082147b50,31b43adcae01eb7f5bed04e3c6431776
8,8a91666c94749a41340c402aaf4341e3,873cd0df467cd8ed0206ab1ff00e5ba4
8,8a91666c94749a41340c402aaf4341e3,39c399bb04e5ea21111908b0bf6fbe28
8,39c399bb04e5ea21111908b0bf6fbe28,873cd0df467cd8ed0206ab1ff00e5ba4
8,39c399bb04e5ea21111908b0bf6fbe28,8a91666c94749a41340c402aaf4341e3
9,4f9f556956d9b3ca770611a4c3b736f9,79b55365778380b6af23e34cc0d564dd
9,4f9f556956d9b3ca770611a4c3b736f9,00bad69b0a1ee4df7a940de05dfaa9ec
9,4f9f556956d9b3ca770611a4c3b736f9,f8b96502013bb7b239a1890627b094ab
9,9217d6a290c01a29995009a1a73b501a,86940ad74916e0aecc901a4be1c83cbd
9,9217d6a290c01a29995009a1a73b501a,f3273507959a123572cf372da83fdeb6
9,9217d6a290c01a29995009a1a73b501a,305ceacfee27b3bd02ff4e81045a5606
9,9217d6a290c01a29995009a1a73b501a,4935772a93863e419fff445fd41c0abe
9,9217d6a290c01a29995009a1a73b501a,af93b224051fff461f0a71724c47a5a6
9,1976851c356c75d8891225c74047e85d,3e438d96e174e5964ff080e6e41199f3
9,1976851c356c75d8891225c74047e85d,0f029bc74fcfb0404718e00e07897103
9,1976851c356c75d8891225c74047e85d,628d968d1b05572c21eb6b133c0275c1
9,1976851c356c75d8891225c74047e85d,ebbbeb66c103b573856b9313c68ba20b
9,e73b9fd95ac94b84d9a6d6bb9c3ae9cb,9cd92e357af189962ff5e9b8b9d62611
9,e73b9fd95ac94b84d9a6d6bb9c3ae9cb,f76f84a6fdbc48b0f31d084b3df7b8af
9,e73b9fd95ac94b84d9a6d6bb9c3ae9cb,367f985d9e5c83b8858d77f70f2a17cd
9,e73b9fd95ac94b84d9a6d6bb9c3ae9cb,0e365bef515dd1e1e43eab7ab6bb446b
9,924e53a357ab16aa4ffe35749f6e8f8e,9ab8ed6e79680767b21e2beb1630c208
9,924e53a357ab16aa4ffe35749f6e8f8e,b4143db7b157df838b4c8718edcaef6e
9,924e53a357ab16aa4ffe35749f6e8f8e,cf0a56a8124b11a52dae122ae1c605cd
9,305ceacfee27b3bd02ff4e81045a5606,af93b224051fff461f0a71724c47a5a6
9,305ceacfee27b3bd02ff4e81045a5606,86940ad74916e0aecc901a4be1c83cbd
9,305ceacfee27b3bd02ff4e81045a5606,4935772a93863e419fff445fd41c0abe
9,305ceacfee27b3bd02ff4e81045a5606,f3273507959a123572cf372da83fdeb6
9,305ceacfee27b3bd02ff4e81045a5606,9217d6a290c01a29995009a1a73b501a
9,81667a98e524bf7503091c16644c903d,6c61b39c06b1afe189c26e2aee672f8c
9,81667a98e524bf7503091c16644c903d,7fbb300be42e9b1a79f75ed50f423507
9,6c61b39c06b1afe189c26e2aee672f8c,81667a98e524bf7503091c16644c903d
9,6c61b39c06b1afe189c26e2aee672f8c,7fbb300be42e9b1a79f75ed50f423507
9,7fbb300be42e9b1a79f75ed50f423507,81667a98e524bf7503091c16644c903d
9,7fbb300be42e9b1a79f75ed50f423507,6c61b39c06b1afe189c26e2aee672f8c
9,f8b96502013bb7b239a1890627b094ab,4f9f556956d9b3ca770611a4c3b736f9
