Province,NoTravelHistory,TravelHistory
SiChuan,114,79,
ZheJiang,180,40,
GanSu,55,29,
AnHui,160,62,
XinJiang,2,1,
JiangXi,8,0,
ShanXi,52,59,
FuJian,32,36,
GuangXi,72,20,
ChongQing,258,129,
GuiZhou,87,57,
HeNan,369,217,
NeiMonggol,12,7,
ShaanXi,2,9,
JiangSu,97,58,
HeiLongJiang,415,29,
ShanDong,184,36,
BeiJing,106,0,
GuangDong,84,190,
TianJin,111,23,
JiLin,76,11,
HaiNan,50,119,
Hongkong,2,1,
ShangHai,8,1,
YunNan,9,14,
NingXia,32,2,
HeBei,253,61,
HuNan,182,68,
LiaoNing,56,58
